creditamount,country,gender,age,salary,leave
619,France,Female,42,101348.88,1
608,Spain,Female,41,112542.58,0
502,France,Female,42,113931.57,1
699,France,Female,39,93826.63,0
850,Spain,Female,43,79084.1,0
645,Spain,Male,44,149756.71,1
822,France,Male,50,10062.8,0
376,Germany,Female,29,119346.88,1
501,France,Male,44,74940.5,0
684,France,Male,27,71725.73,0
528,France,Male,31,80181.12,0
497,Spain,Male,24,76390.01,0
476,France,Male,34,26260.98,0
549,France,Female,25,190857.79,0
635,Spain,Female,35,65951.65,0
616,Germany,Male,45,64327.26,0
653,Germany,Male,58,5097.67,1
549,Spain,Female,24,14406.41,0
587,Spain,Male,45,158684.81,0
726,France,Female,24,54724.03,0
732,France,Male,41,170886.17,0
636,Spain,Female,32,138555.46,0
510,Spain,Female,38,118913.53,1
669,France,Male,46,8487.75,0
846,France,Female,38,187616.16,0
577,France,Male,25,124508.29,0
756,Germany,Male,36,170041.95,0
571,France,Male,44,38433.35,0
574,Germany,Female,43,100187.43,0
411,France,Male,29,53483.21,0
591,Spain,Female,39,140469.38,1
533,France,Male,36,156731.91,0
553,Germany,Male,41,81898.81,0
520,Spain,Female,42,34410.55,0
722,Spain,Female,29,142033.07,0
475,France,Female,45,27822.99,1
490,Spain,Male,31,114066.77,0
804,Spain,Male,33,98453.45,0
850,France,Male,36,40812.9,0
582,Germany,Male,41,178074.04,0
472,Spain,Male,40,70154.22,0
465,France,Female,51,181297.65,1
556,France,Female,61,94153.83,0
834,France,Female,49,194365.76,1
660,Spain,Female,61,158338.39,0
776,Germany,Female,32,126517.46,0
829,Germany,Female,27,119708.21,1
637,Germany,Female,39,117622.8,1
550,Germany,Male,38,90878.13,0
776,Germany,Female,37,194099.12,0
698,Germany,Male,44,198059.16,0
585,Germany,Male,36,86424.57,0
788,France,Female,33,116978.19,0
655,Germany,Male,41,164040.94,1
601,Germany,Male,42,40014.76,1
619,France,Male,43,113410.49,0
656,France,Male,45,87107.57,0
725,Germany,Male,19,45613.75,0
511,Spain,Female,66,1643.11,1
614,France,Male,51,46775.28,0
742,Germany,Male,35,84509.57,0
687,Germany,Female,27,126494.82,0
555,Spain,Male,33,178798.13,0
684,Spain,Male,56,99398.36,0
603,Germany,Male,26,92840.67,0
751,Germany,Female,36,27758.36,0
581,Germany,Female,34,110431.51,0
735,Germany,Male,43,196673.28,0
661,Germany,Female,35,113656.85,0
675,France,Female,21,18203,0
738,Germany,Male,58,28373.86,1
813,France,Male,29,33953.87,0
657,Spain,Female,37,44203.55,0
604,Germany,Female,25,58426.81,0
519,France,Male,36,145562.4,0
735,France,Female,21,22388,0
664,France,Male,55,139161.64,0
678,France,Female,32,148210.64,0
757,Spain,Male,33,194239.63,0
416,Germany,Female,41,98301.61,0
665,France,Female,34,171413.66,0
777,France,Female,32,136458.19,1
543,France,Female,36,26019.59,0
506,France,Female,34,159235.29,0
493,France,Female,46,1907.66,0
652,Spain,Female,75,114675.75,0
750,Spain,Male,22,128643.35,1
729,France,Male,30,151869.35,0
646,France,Female,46,93251.42,1
635,Germany,Female,28,156791.36,0
647,Spain,Female,44,174205.22,1
808,France,Male,45,147132.46,0
524,France,Female,36,109614.57,0
769,France,Male,29,172290.61,0
730,Spain,Male,42,85982.47,0
515,Spain,Male,35,121277.78,0
773,Spain,Male,41,64595.25,0
814,Germany,Male,29,197276.13,0
710,Spain,Male,22,99645.04,0
413,France,Male,34,6534.18,0
665,France,Female,40,161848.03,0
623,France,Female,44,167162.43,0
738,France,Male,31,41970.72,0
528,Spain,Male,36,60536.56,0
670,Spain,Female,65,177655.68,1
622,Spain,Female,46,30984.59,1
582,Germany,Male,32,10054.53,0
785,Germany,Female,36,36976.52,0
605,Spain,Male,33,71862.79,0
479,Germany,Male,35,99449.86,1
685,Germany,Male,30,63082.88,0
538,Germany,Male,39,27231.26,0
562,France,Male,42,86797.41,0
675,Spain,Male,36,22994.32,0
721,Germany,Male,28,101300.94,1
628,Germany,Female,30,74169.13,0
668,Germany,Female,37,115638.29,0
506,France,Female,41,31766.3,0
524,Germany,Female,31,199725.39,1
699,Germany,Male,34,120834.48,0
828,France,Male,34,38131.77,0
674,Spain,Male,39,100130.95,0
656,France,Female,39,141069.88,0
684,Germany,Female,48,198129.36,0
625,France,Female,28,183646.41,0
432,France,Male,42,110265.24,1
549,France,Female,52,8636.05,1
625,Germany,Male,56,46824.08,1
828,France,Female,41,171378.77,0
770,France,Male,24,167256.35,0
758,France,Female,34,124226.16,0
795,Germany,Female,33,114935.21,0
687,France,Male,38,35608.88,0
686,France,Male,25,16459.37,0
